"","Country area or territory","Surveillance site type","Year-week (ISO 8601 calendar)","Week start date (ISO 8601 calendar)","Specimen tested","Influenza positive","Influenza negative","A (H1N1)pdm09","A (H3)","B (Victoria)","B (Yamagata)"
"118","Germany","Non-sentinel","2019-03",2019-01-14,17,3,14,3,0,0,0
"119","Germany","Non-sentinel","2019-04",2019-01-21,20,7,13,3,4,0,0
"120","Germany","Non-sentinel","2019-05",2019-01-28,31,5,26,2,3,0,0
"121","Germany","Non-sentinel","2019-06",2019-02-04,32,7,25,3,4,0,0
"122","Germany","Non-sentinel","2019-07",2019-02-11,34,14,20,6,8,0,0
"123","Germany","Non-sentinel","2019-08",2019-02-18,30,7,23,4,3,0,0
"124","Germany","Non-sentinel","2019-09",2019-02-25,18,6,12,2,4,0,0
"125","Germany","Non-sentinel","2019-10",2019-03-04,26,3,23,1,2,0,0
"126","Germany","Non-sentinel","2019-11",2019-03-11,15,5,10,2,3,0,0
"127","Germany","Non-sentinel","2019-12",2019-03-18,13,6,7,4,2,0,0
"128","Germany","Non-sentinel","2019-13",2019-03-25,14,0,14,0,0,0,0
"129","Germany","Non-sentinel","2019-14",2019-04-01,10,1,9,0,1,0,0
"130","Germany","Non-sentinel","2019-15",2019-04-08,9,3,6,0,3,0,0
"131","Germany","Non-sentinel","2019-16",2019-04-15,10,8,2,1,7,0,0
"132","Germany","Non-sentinel","2019-17",2019-04-22,3,1,2,0,1,0,0
"133","Germany","Non-sentinel","2019-18",2019-04-29,3,0,3,0,0,0,0
"134","Germany","Non-sentinel","2019-19",2019-05-06,1,0,1,0,0,0,0
"135","Germany","Non-sentinel","2019-20",2019-05-13,1,0,1,0,0,0,0
"136","Germany","Non-sentinel","2019-21",2019-05-20,7,1,6,1,0,0,0
"137","Germany","Non-sentinel","2019-22",2019-05-27,0,0,0,0,0,0,0
"138","Germany","Non-sentinel","2019-23",2019-06-03,1,0,1,0,0,0,0
"139","Germany","Non-sentinel","2019-24",2019-06-10,1,0,1,0,0,0,0
"140","Germany","Non-sentinel","2019-25",2019-06-17,0,0,0,0,0,0,0
"141","Germany","Non-sentinel","2019-26",2019-06-24,0,0,0,0,0,0,0
"142","Germany","Non-sentinel","2019-27",2019-07-01,96,4,92,2,1,0,1
"143","Germany","Non-sentinel","2019-28",2019-07-08,2,2,0,0,2,0,0
"144","Germany","Non-sentinel","2019-29",2019-07-15,0,0,0,0,0,0,0
"145","Germany","Non-sentinel","2019-30",2019-07-22,0,0,0,0,0,0,0
"146","Germany","Non-sentinel","2019-31",2019-07-29,0,0,0,0,0,0,0
"147","Germany","Non-sentinel","2019-32",2019-08-05,2,0,2,0,0,0,0
"148","Germany","Non-sentinel","2019-33",2019-08-12,0,0,0,0,0,0,0
"149","Germany","Non-sentinel","2019-34",2019-08-19,0,0,0,0,0,0,0
"150","Germany","Non-sentinel","2019-35",2019-08-26,1,0,1,0,0,0,0
"151","Germany","Non-sentinel","2019-36",2019-09-02,0,0,0,0,0,0,0
"152","Germany","Non-sentinel","2019-37",2019-09-09,1,1,0,0,1,0,0
"153","Germany","Non-sentinel","2019-38",2019-09-16,0,0,0,0,0,0,0
"154","Germany","Non-sentinel","2019-40",2019-09-30,1,0,1,0,0,0,0
"155","Germany","Non-sentinel","2019-41",2019-10-07,0,0,0,0,0,0,0
"156","Germany","Non-sentinel","2019-42",2019-10-14,26,2,24,0,2,0,0
"157","Germany","Non-sentinel","2019-43",2019-10-21,0,0,0,0,0,0,0
"158","Germany","Non-sentinel","2019-44",2019-10-28,1,0,1,0,0,0,0
"159","Germany","Non-sentinel","2019-45",2019-11-04,2,0,2,0,0,0,0
"160","Germany","Non-sentinel","2019-46",2019-11-11,3,0,3,0,0,0,0
"161","Germany","Non-sentinel","2019-47",2019-11-18,3,0,3,0,0,0,0
"162","Germany","Non-sentinel","2019-48",2019-11-25,8,3,5,3,0,0,0
"163","Germany","Non-sentinel","2019-49",2019-12-02,2,2,0,1,1,0,0
"164","Germany","Non-sentinel","2019-50",2019-12-09,3,1,2,0,0,1,0
"165","Germany","Non-sentinel","2019-51",2019-12-16,6,4,2,4,0,0,0
"166","Germany","Non-sentinel","2019-52",2019-12-23,4,2,2,1,1,0,0
"167","Germany","Non-sentinel","2020-01",2019-12-30,19,2,17,1,1,0,0
"168","Germany","Non-sentinel","2020-02",2020-01-06,12,4,8,3,0,1,0
"169","Germany","Non-sentinel","2020-03",2020-01-13,11,2,9,2,0,0,0
"170","Germany","Non-sentinel","2020-04",2020-01-20,17,5,12,3,2,0,0
"171","Germany","Non-sentinel","2020-05",2020-01-27,30,15,15,8,7,0,0
"172","Germany","Non-sentinel","2020-06",2020-02-03,29,8,21,3,3,2,0
"173","Germany","Non-sentinel","2020-07",2020-02-10,46,8,38,4,4,0,0
"174","Germany","Non-sentinel","2020-08",2020-02-17,34,19,15,5,7,7,0
"175","Germany","Non-sentinel","2020-09",2020-02-24,30,6,24,4,2,0,0
"176","Germany","Non-sentinel","2020-10",2020-03-02,35,5,30,5,0,0,0
"177","Germany","Non-sentinel","2020-11",2020-03-09,23,4,19,3,1,0,0
"178","Germany","Non-sentinel","2020-12",2020-03-16,11,1,10,1,0,0,0
"179","Germany","Non-sentinel","2020-13",2020-03-23,8,0,8,0,0,0,0
"180","Germany","Non-sentinel","2020-14",2020-03-30,2,0,2,0,0,0,0
"181","Germany","Non-sentinel","2020-15",2020-04-06,4,0,4,0,0,0,0
"182","Germany","Non-sentinel","2020-16",2020-04-13,7,0,7,0,0,0,0
"183","Germany","Non-sentinel","2020-17",2020-04-20,0,0,0,0,0,0,0
"184","Germany","Non-sentinel","2020-18",2020-04-27,3,0,3,0,0,0,0
"185","Germany","Non-sentinel","2020-19",2020-05-04,5,0,5,0,0,0,0
"186","Germany","Non-sentinel","2020-20",2020-05-11,1,0,1,0,0,0,0
"187","Germany","Non-sentinel","2020-21",2020-05-18,1,0,1,0,0,0,0
"188","Germany","Non-sentinel","2020-22",2020-05-25,0,0,0,0,0,0,0
"189","Germany","Non-sentinel","2020-23",2020-06-01,0,0,0,0,0,0,0
"190","Germany","Non-sentinel","2020-24",2020-06-08,0,0,0,0,0,0,0
"191","Germany","Non-sentinel","2020-25",2020-06-15,1,0,1,0,0,0,0
"192","Germany","Non-sentinel","2020-26",2020-06-22,0,0,0,0,0,0,0
"193","Germany","Non-sentinel","2020-27",2020-06-29,0,0,0,0,0,0,0
"194","Germany","Non-sentinel","2020-28",2020-07-06,15,0,15,0,0,0,0
"195","Germany","Non-sentinel","2020-29",2020-07-13,7,0,7,0,0,0,0
"196","Germany","Non-sentinel","2020-30",2020-07-20,0,0,0,0,0,0,0
"197","Germany","Non-sentinel","2020-31",2020-07-27,0,0,0,0,0,0,0
"198","Germany","Non-sentinel","2020-32",2020-08-03,0,0,0,0,0,0,0
"199","Germany","Non-sentinel","2020-33",2020-08-10,0,0,0,0,0,0,0
"200","Germany","Non-sentinel","2020-34",2020-08-17,1,0,1,0,0,0,0
"201","Germany","Non-sentinel","2020-35",2020-08-24,2,0,2,0,0,0,0
"202","Germany","Non-sentinel","2020-36",2020-08-31,2,0,2,0,0,0,0
"203","Germany","Non-sentinel","2020-37",2020-09-07,3,0,3,0,0,0,0
"204","Germany","Non-sentinel","2020-38",2020-09-14,9,0,9,0,0,0,0
"205","Germany","Non-sentinel","2020-39",2020-09-21,0,0,0,0,0,0,0
"206","Germany","Non-sentinel","2020-40",2020-09-28,1,0,1,0,0,0,0
"207","Germany","Non-sentinel","2020-41",2020-10-05,1,0,1,0,0,0,0
"208","Germany","Non-sentinel","2020-42",2020-10-12,2,0,2,0,0,0,0
"209","Germany","Non-sentinel","2020-43",2020-10-19,2,0,2,0,0,0,0
"210","Germany","Non-sentinel","2020-44",2020-10-26,2,0,2,0,0,0,0
"211","Germany","Non-sentinel","2020-45",2020-11-02,1,0,1,0,0,0,0
"212","Germany","Non-sentinel","2020-46",2020-11-09,0,0,0,0,0,0,0
"213","Germany","Non-sentinel","2020-47",2020-11-16,1,0,1,0,0,0,0
"214","Germany","Non-sentinel","2020-48",2020-11-23,2,0,2,0,0,0,0
"215","Germany","Non-sentinel","2020-49",2020-11-30,2,0,2,0,0,0,0
"216","Germany","Non-sentinel","2020-50",2020-12-07,3,0,3,0,0,0,0
"217","Germany","Non-sentinel","2020-51",2020-12-14,0,0,0,0,0,0,0
"218","Germany","Non-sentinel","2020-52",2020-12-21,1,0,1,0,0,0,0
"219","Germany","Non-sentinel","2020-53",2020-12-28,1,0,1,0,0,0,0
"220","Germany","Non-sentinel","2021-01",2021-01-04,2,0,2,0,0,0,0
"221","Germany","Non-sentinel","2021-02",2021-01-11,6,0,6,0,0,0,0
"222","Germany","Non-sentinel","2021-03",2021-01-18,3,0,3,0,0,0,0
"223","Germany","Non-sentinel","2021-04",2021-01-25,1,0,1,0,0,0,0
"224","Germany","Non-sentinel","2021-05",2021-02-01,5,0,5,0,0,0,0
"225","Germany","Non-sentinel","2021-06",2021-02-08,5,0,5,0,0,0,0
"226","Germany","Non-sentinel","2021-07",2021-02-15,2,0,2,0,0,0,0
"227","Germany","Non-sentinel","2021-08",2021-02-22,4,0,4,0,0,0,0
"228","Germany","Non-sentinel","2021-09",2021-03-01,4,1,3,0,0,1,0
"229","Germany","Non-sentinel","2021-10",2021-03-08,0,0,0,0,0,0,0
"230","Germany","Non-sentinel","2021-11",2021-03-15,4,0,4,0,0,0,0
"231","Germany","Non-sentinel","2021-12",2021-03-22,0,0,0,0,0,0,0
"232","Germany","Non-sentinel","2021-13",2021-03-29,0,0,0,0,0,0,0
"233","Germany","Non-sentinel","2021-14",2021-04-05,0,0,0,0,0,0,0
"234","Germany","Non-sentinel","2021-15",2021-04-12,0,0,0,0,0,0,0
"235","Germany","Non-sentinel","2021-16",2021-04-19,0,0,0,0,0,0,0
"236","Germany","Non-sentinel","2021-17",2021-04-26,1,0,1,0,0,0,0
"237","Germany","Non-sentinel","2021-18",2021-05-03,1,0,1,0,0,0,0
"238","Germany","Non-sentinel","2021-19",2021-05-10,0,0,0,0,0,0,0
"239","Germany","Non-sentinel","2021-20",2021-05-17,2,0,2,0,0,0,0
"240","Germany","Non-sentinel","2021-21",2021-05-24,4,0,4,0,0,0,0
"241","Germany","Non-sentinel","2021-22",2021-05-31,2,0,2,0,0,0,0
"242","Germany","Non-sentinel","2021-23",2021-06-07,0,0,0,0,0,0,0
"243","Germany","Non-sentinel","2021-24",2021-06-14,1,0,1,0,0,0,0
"244","Germany","Non-sentinel","2021-25",2021-06-21,0,0,0,0,0,0,0
"245","Germany","Non-sentinel","2021-26",2021-06-28,0,0,0,0,0,0,0
"246","Germany","Non-sentinel","2021-27",2021-07-05,4,0,4,0,0,0,0
"247","Germany","Non-sentinel","2021-28",2021-07-12,1,0,1,0,0,0,0
"248","Germany","Non-sentinel","2021-29",2021-07-19,0,0,0,0,0,0,0
"249","Germany","Non-sentinel","2021-30",2021-07-26,0,0,0,0,0,0,0
"250","Germany","Non-sentinel","2021-31",2021-08-02,0,0,0,0,0,0,0
"251","Germany","Non-sentinel","2021-32",2021-08-09,0,0,0,0,0,0,0
"252","Germany","Non-sentinel","2021-33",2021-08-16,1,0,1,0,0,0,0
"253","Germany","Non-sentinel","2021-34",2021-08-23,0,0,0,0,0,0,0
"254","Germany","Non-sentinel","2021-35",2021-08-30,0,0,0,0,0,0,0
"255","Germany","Non-sentinel","2021-36",2021-09-06,5,0,5,0,0,0,0
"256","Germany","Non-sentinel","2021-37",2021-09-13,8,1,7,0,1,0,0
"257","Germany","Non-sentinel","2021-38",2021-09-20,11,0,11,0,0,0,0
"258","Germany","Non-sentinel","2021-39",2021-09-27,8,0,8,0,0,0,0
"259","Germany","Non-sentinel","2021-40",2021-10-04,9,0,9,0,0,0,0
"260","Germany","Non-sentinel","2021-41",2021-10-11,13,0,13,0,0,0,0
"261","Germany","Non-sentinel","2021-42",2021-10-18,18,0,18,0,0,0,0
"262","Germany","Non-sentinel","2021-43",2021-10-25,28,1,27,0,1,0,0
"263","Germany","Non-sentinel","2021-44",2021-11-01,26,1,25,0,0,1,0
"264","Germany","Non-sentinel","2021-45",2021-11-08,0,0,0,0,0,0,0
"265","Germany","Non-sentinel","2021-46",2021-11-15,18,1,17,0,1,0,0
"266","Germany","Non-sentinel","2021-47",2021-11-22,18,2,16,0,2,0,0
"267","Germany","Non-sentinel","2021-48",2021-11-29,4,1,3,0,1,0,0
"268","Germany","Non-sentinel","2021-49",2021-12-06,1,0,1,0,0,0,0
"269","Germany","Non-sentinel","2021-50",2021-12-13,2,2,0,0,2,0,0
"270","Germany","Non-sentinel","2021-51",2021-12-20,3,1,2,0,1,0,0
"271","Germany","Non-sentinel","2021-52",2021-12-27,5,4,1,0,4,0,0
"272","Germany","Non-sentinel","2022-01",2022-01-03,6,5,1,0,5,0,0
"273","Germany","Non-sentinel","2022-02",2022-01-10,7,3,4,0,3,0,0
"274","Germany","Non-sentinel","2022-03",2022-01-17,15,11,4,2,9,0,0
"275","Germany","Non-sentinel","2022-04",2022-01-24,9,8,1,0,8,0,0
"276","Germany","Non-sentinel","2022-05",2022-01-31,26,23,3,0,23,0,0
"277","Germany","Non-sentinel","2022-06",2022-02-07,17,17,0,0,17,0,0
"278","Germany","Non-sentinel","2022-07",2022-02-14,8,6,2,0,6,0,0
"279","Germany","Non-sentinel","2022-08",2022-02-21,7,6,1,0,6,0,0
"280","Germany","Non-sentinel","2022-09",2022-02-28,8,5,3,2,3,0,0
"281","Germany","Non-sentinel","2022-10",2022-03-07,12,11,1,0,11,0,0
"282","Germany","Non-sentinel","2022-11",2022-03-14,16,16,0,0,16,0,0
"283","Germany","Non-sentinel","2022-12",2022-03-21,30,20,10,0,19,0,1
"284","Germany","Non-sentinel","2022-13",2022-03-28,23,19,4,0,18,0,1
"285","Germany","Non-sentinel","2022-14",2022-04-04,23,22,1,0,22,0,0
"286","Germany","Non-sentinel","2022-15",2022-04-11,18,18,0,0,18,0,0
"287","Germany","Non-sentinel","2022-16",2022-04-18,18,17,1,0,17,0,0
"288","Germany","Non-sentinel","2022-17",2022-04-25,35,9,26,1,8,0,0
"289","Germany","Non-sentinel","2022-18",2022-05-02,10,10,0,0,8,2,0
"290","Germany","Non-sentinel","2022-19",2022-05-09,13,13,0,1,12,0,0
"291","Germany","Non-sentinel","2022-20",2022-05-16,9,8,1,0,7,1,0
"292","Germany","Non-sentinel","2022-21",2022-05-23,5,5,0,0,5,0,0
"293","Germany","Non-sentinel","2022-22",2022-05-30,18,13,5,0,13,0,0
"294","Germany","Non-sentinel","2022-23",2022-06-06,6,6,0,0,6,0,0
"295","Germany","Non-sentinel","2022-24",2022-06-13,3,2,1,0,2,0,0
"296","Germany","Non-sentinel","2022-25",2022-06-20,5,5,0,0,5,0,0
"297","Germany","Non-sentinel","2022-26",2022-06-27,3,2,1,0,2,0,0
"298","Germany","Non-sentinel","2022-27",2022-07-04,1,1,0,0,1,0,0
"299","Germany","Non-sentinel","2022-28",2022-07-11,73,1,72,0,1,0,0
"300","Germany","Non-sentinel","2022-29",2022-07-18,1,0,1,0,0,0,0
"301","Germany","Non-sentinel","2022-30",2022-07-25,2,2,0,1,1,0,0
"302","Germany","Non-sentinel","2022-31",2022-08-01,1,0,1,0,0,0,0
"303","Germany","Non-sentinel","2022-32",2022-08-08,2,2,0,0,2,0,0
"304","Germany","Non-sentinel","2022-33",2022-08-15,24,2,22,1,1,0,0
"305","Germany","Non-sentinel","2022-34",2022-08-22,6,2,4,0,2,0,0
"306","Germany","Non-sentinel","2022-35",2022-08-29,8,1,7,0,1,0,0
"307","Germany","Non-sentinel","2022-36",2022-09-05,8,1,7,0,1,0,0
"308","Germany","Non-sentinel","2022-37",2022-09-12,3,1,2,0,0,1,0
"309","Germany","Non-sentinel","2022-38",2022-09-19,1,1,0,0,1,0,0
"310","Germany","Non-sentinel","2022-39",2022-09-26,0,0,0,0,0,0,0
"311","Germany","Non-sentinel","2022-40",2022-10-03,32,20,12,0,20,0,0
"312","Germany","Non-sentinel","2022-41",2022-10-10,6,4,2,0,3,1,0
"313","Germany","Non-sentinel","2022-42",2022-10-17,13,11,2,0,10,1,0
"314","Germany","Non-sentinel","2022-43",2022-10-24,15,9,6,1,8,0,0
"315","Germany","Non-sentinel","2022-44",2022-10-31,12,9,3,1,8,0,0
"316","Germany","Non-sentinel","2022-45",2022-11-07,7,5,2,0,4,1,0
"317","Germany","Non-sentinel","2022-46",2022-11-14,26,21,5,3,18,0,0
"318","Germany","Non-sentinel","2022-47",2022-11-21,42,37,5,3,33,1,0
"319","Germany","Non-sentinel","2022-48",2022-11-28,85,69,16,6,61,2,0
"320","Germany","Non-sentinel","2022-49",2022-12-05,35,23,12,3,19,1,0
"321","Germany","Non-sentinel","2022-50",2022-12-12,28,23,5,1,22,0,0
"322","Germany","Non-sentinel","2022-51",2022-12-19,34,25,9,2,22,1,0
"323","Germany","Non-sentinel","2022-52",2022-12-26,14,8,6,1,5,2,0
"324","Germany","Non-sentinel","2023-01",2023-01-02,18,5,13,0,2,3,0
"325","Germany","Non-sentinel","2023-02",2023-01-09,17,4,13,1,1,2,0
"326","Germany","Non-sentinel","2023-03",2023-01-16,16,2,14,0,0,2,0
"327","Germany","Non-sentinel","2023-04",2023-01-23,23,12,11,0,0,12,0
"328","Germany","Non-sentinel","2023-05",2023-01-30,34,13,21,0,1,12,0
"329","Germany","Non-sentinel","2023-06",2023-02-06,31,10,21,1,0,9,0
"330","Germany","Non-sentinel","2023-07",2023-02-13,29,21,8,0,0,21,0
"331","Germany","Non-sentinel","2023-08",2023-02-20,27,9,18,5,0,4,0
"332","Germany","Non-sentinel","2023-09",2023-02-27,16,7,9,5,0,2,0
"333","Germany","Non-sentinel","2023-10",2023-03-06,19,6,13,4,0,2,0
"334","Germany","Non-sentinel","2023-11",2023-03-13,15,1,14,1,0,0,0
"335","Germany","Non-sentinel","2023-12",2023-03-20,11,2,9,2,0,0,0
"336","Germany","Non-sentinel","2023-13",2023-03-27,13,3,10,1,1,1,0
