"","Country area or territory","Surveillance site type","Year-week (ISO 8601 calendar)","Week start date (ISO 8601 calendar)","Specimen tested","Influenza positive","Influenza negative","A (H1N1)pdm09","A (H3)","A not subtyped","B (Victoria)","B (Yamagata)","B (lineage not determined)"
"358","Norway","Not defined","2011-38",2011-09-19,1,0,1,0,0,0,0,0,0
"359","Norway","Not defined","2011-39",2011-09-26,1,0,1,0,0,0,0,0,0
"360","Norway","Not defined","2011-40",2011-10-03,208,1,207,0,1,0,0,0,0
"361","Norway","Not defined","2011-41",2011-10-10,422,2,420,0,1,0,1,0,0
"362","Norway","Not defined","2011-42",2011-10-17,527,1,526,0,1,0,0,0,0
"363","Norway","Not defined","2011-43",2011-10-24,618,3,615,0,2,0,0,0,1
"364","Norway","Not defined","2011-44",2011-10-31,705,4,701,0,3,0,0,0,1
"365","Norway","Not defined","2011-45",2011-11-07,677,3,674,0,1,0,0,0,2
"366","Norway","Not defined","2011-46",2011-11-14,689,7,682,0,7,0,0,0,0
"367","Norway","Not defined","2011-47",2011-11-21,677,3,674,0,3,0,0,0,0
"368","Norway","Not defined","2011-48",2011-11-28,754,18,736,0,15,2,0,0,1
"369","Norway","Not defined","2011-49",2011-12-05,683,22,661,0,13,8,1,0,0
"370","Norway","Not defined","2011-50",2011-12-12,648,23,625,1,14,6,2,0,0
"371","Norway","Not defined","2011-51",2011-12-19,850,57,793,0,25,32,0,0,0
"372","Norway","Not defined","2011-52",2011-12-26,708,69,639,1,41,27,0,0,0
"373","Norway","Not defined","2012-01",2012-01-02,1172,110,1062,1,51,57,0,0,1
"374","Norway","Not defined","2012-02",2012-01-09,1432,109,1323,1,53,54,1,0,0
"375","Norway","Not defined","2012-03",2012-01-16,1230,136,1094,6,50,79,1,0,0
"376","Norway","Not defined","2012-04",2012-01-23,1402,191,1211,5,46,133,0,0,7
"377","Norway","Not defined","2012-05",2012-01-30,1627,330,1297,3,66,253,0,0,8
"378","Norway","Not defined","2012-06",2012-02-06,1789,448,1341,2,57,389,0,0,0
"379","Norway","Not defined","2012-07",2012-02-13,2024,585,1439,4,62,511,3,3,2
"380","Norway","Not defined","2012-08",2012-02-20,2275,790,1485,5,57,713,0,2,13
"381","Norway","Not defined","2012-09",2012-02-27,2334,735,1599,4,52,673,0,0,6
"382","Norway","Not defined","2012-10",2012-03-05,1714,520,1194,4,46,465,1,0,4
"383","Norway","Not defined","2012-11",2012-03-12,2045,513,1532,1,36,464,0,3,9
"384","Norway","Not defined","2012-12",2012-03-19,1891,406,1485,3,33,354,1,3,12
"385","Norway","Not defined","2012-13",2012-03-26,1435,306,1129,4,28,255,0,3,16
"386","Norway","Not defined","2012-14",2012-04-02,914,148,766,3,11,127,1,1,5
"387","Norway","Not defined","2012-15",2012-04-09,979,129,850,3,19,100,1,1,5
"388","Norway","Not defined","2012-16",2012-04-16,874,75,799,0,22,43,0,0,10
"389","Norway","Not defined","2012-17",2012-04-23,858,53,805,0,13,35,0,4,1
"390","Norway","Not defined","2012-18",2012-04-30,760,53,707,0,7,34,0,0,12
"391","Norway","Not defined","2012-19",2012-05-07,802,25,777,0,1,18,1,2,3
"392","Norway","Not defined","2012-20",2012-05-14,632,26,606,0,2,12,0,0,12
"393","Norway","Not defined","2012-21",2012-05-21,309,5,304,0,0,2,0,0,3
"394","Norway","Not defined","2012-22",2012-05-28,306,7,299,0,0,3,0,0,4
"395","Norway","Not defined","2012-23",2012-06-04,191,3,188,0,1,0,0,0,2
"396","Norway","Not defined","2012-24",2012-06-11,34,3,31,0,2,0,1,0,0
"397","Norway","Not defined","2012-25",2012-06-18,111,3,108,0,1,1,0,1,0
"398","Norway","Not defined","2012-26",2012-06-25,1,0,1,0,0,0,0,0,0
"399","Norway","Not defined","2012-27",2012-07-02,1,1,0,0,1,0,0,0,0
"400","Norway","Not defined","2012-28",2012-07-09,0,0,0,0,0,0,0,0,0
"401","Norway","Not defined","2012-29",2012-07-16,0,0,0,0,0,0,0,0,0
"402","Norway","Not defined","2012-30",2012-07-23,2,1,1,0,1,0,0,0,0
"403","Norway","Not defined","2012-31",2012-07-30,0,0,0,0,0,0,0,0,0
"404","Norway","Not defined","2012-32",2012-08-06,2,1,1,0,1,0,0,0,0
"405","Norway","Not defined","2012-33",2012-08-13,69,1,68,0,1,0,0,0,0
"406","Norway","Not defined","2012-34",2012-08-20,41,1,40,0,1,0,0,0,0
"407","Norway","Not defined","2012-35",2012-08-27,0,0,0,0,0,0,0,0,0
"408","Norway","Not defined","2012-36",2012-09-03,2,0,2,0,0,0,0,0,0
"409","Norway","Not defined","2012-37",2012-09-10,1,1,0,0,0,0,0,1,0
"410","Norway","Not defined","2012-38",2012-09-17,3,3,0,0,1,0,0,2,0
"411","Norway","Not defined","2012-39",2012-09-24,0,0,0,0,0,0,0,0,0
"412","Norway","Not defined","2012-40",2012-10-01,421,3,418,1,1,1,0,0,0
"413","Norway","Not defined","2012-41",2012-10-08,615,7,608,0,1,2,1,3,0
"414","Norway","Not defined","2012-42",2012-10-15,663,12,651,2,5,3,0,0,2
"415","Norway","Not defined","2012-43",2012-10-22,747,19,728,6,8,1,0,1,3
"416","Norway","Not defined","2012-44",2012-10-29,885,29,856,10,3,9,0,6,1
"417","Norway","Not defined","2012-45",2012-11-05,995,40,955,13,4,5,0,12,6
"418","Norway","Not defined","2012-46",2012-11-12,1010,42,968,10,2,7,0,11,12
"419","Norway","Not defined","2012-47",2012-11-19,1144,53,1091,8,6,5,0,19,15
"420","Norway","Not defined","2012-48",2012-11-26,1106,60,1046,14,6,13,1,13,13
"421","Norway","Not defined","2012-49",2012-12-03,1174,87,1087,26,15,10,3,18,15
"422","Norway","Not defined","2012-50",2012-12-10,1583,262,1321,69,16,89,0,32,56
"423","Norway","Not defined","2012-51",2012-12-17,1724,469,1255,97,11,246,0,24,91
"424","Norway","Not defined","2012-52",2012-12-24,1460,420,1040,121,14,191,1,17,76
"425","Norway","Not defined","2013-01",2012-12-31,3976,1360,2616,474,31,586,2,49,218
"426","Norway","Not defined","2013-02",2013-01-07,5551,1486,4065,718,29,484,4,42,209
"427","Norway","Not defined","2013-03",2013-01-14,3758,977,2781,442,24,345,2,48,116
"428","Norway","Not defined","2013-04",2013-01-21,3546,1028,2518,458,21,332,3,43,171
"429","Norway","Not defined","2013-05",2013-01-28,3330,1025,2305,474,32,257,3,46,213
"430","Norway","Not defined","2013-06",2013-02-04,2748,982,1766,343,11,278,3,43,304
"431","Norway","Not defined","2013-07",2013-02-11,2949,906,2043,241,27,223,0,51,364
"432","Norway","Not defined","2013-08",2013-02-18,2710,803,1907,180,24,169,2,36,392
"433","Norway","Not defined","2013-09",2013-02-25,2610,688,1922,109,31,158,3,50,337
"434","Norway","Not defined","2013-10",2013-03-04,2286,563,1723,77,26,116,1,50,293
"435","Norway","Not defined","2013-11",2013-03-11,2165,532,1633,59,18,106,0,38,311
"436","Norway","Not defined","2013-12",2013-03-18,2181,497,1684,43,15,77,1,31,330
"437","Norway","Not defined","2013-13",2013-03-25,1289,259,1030,19,11,45,1,31,152
"438","Norway","Not defined","2013-14",2013-04-01,1531,265,1266,19,10,54,0,34,148
"439","Norway","Not defined","2013-15",2013-04-08,1636,232,1404,14,13,39,0,38,128
"440","Norway","Not defined","2013-16",2013-04-15,1342,174,1168,16,8,30,2,31,87
"441","Norway","Not defined","2013-17",2013-04-22,1358,111,1247,4,4,18,2,22,61
"442","Norway","Not defined","2013-18",2013-04-29,1160,62,1098,3,2,9,1,13,34
"443","Norway","Not defined","2013-19",2013-05-06,1057,53,1004,5,6,10,0,15,17
"444","Norway","Not defined","2013-20",2013-05-13,797,20,777,1,1,5,0,4,9
"445","Norway","Not defined","2013-21",2013-05-20,422,10,412,0,0,1,0,5,4
"446","Norway","Not defined","2013-22",2013-05-27,186,5,181,0,1,0,0,2,2
"447","Norway","Not defined","2013-23",2013-06-03,264,5,259,1,0,1,0,1,2
"448","Norway","Not defined","2013-24",2013-06-10,95,2,93,0,0,1,0,0,1
"449","Norway","Not defined","2013-25",2013-06-17,188,2,186,0,0,0,1,0,1
"450","Norway","Not defined","2013-26",2013-06-24,0,0,0,0,0,0,0,0,0
"451","Norway","Not defined","2013-27",2013-07-01,2,0,2,0,0,0,0,0,0
"452","Norway","Not defined","2013-28",2013-07-08,3,0,3,0,0,0,0,0,0
"453","Norway","Not defined","2013-29",2013-07-15,77,2,75,1,0,0,1,0,0
"454","Norway","Not defined","2013-30",2013-07-22,208,4,204,3,0,0,0,0,1
"455","Norway","Not defined","2013-31",2013-07-29,1,1,0,0,1,0,0,0,0
"456","Norway","Not defined","2013-32",2013-08-05,71,3,68,0,1,0,2,0,0
"457","Norway","Not defined","2013-33",2013-08-12,89,1,88,0,0,0,0,0,1
"458","Norway","Not defined","2013-34",2013-08-19,0,0,0,0,0,0,0,0,0
"459","Norway","Not defined","2013-35",2013-08-26,0,0,0,0,0,0,0,0,0
"460","Norway","Not defined","2013-36",2013-09-02,4,4,0,3,0,1,0,0,0
"461","Norway","Not defined","2013-37",2013-09-09,0,0,0,0,0,0,0,0,0
"462","Norway","Not defined","2013-38",2013-09-16,85,1,84,1,0,0,0,0,0
"463","Norway","Not defined","2013-39",2013-09-23,95,1,94,1,0,0,0,0,0
"464","Norway","Not defined","2014-20",2014-05-12,1569,145,1424,17,32,77,0,4,15
"465","Norway","Not defined","2014-21",2014-05-19,1250,124,1126,2,22,83,0,3,14
"466","Norway","Not defined","2014-22",2014-05-26,1002,44,958,4,6,31,0,1,2
"467","Norway","Not defined","2014-23",2014-06-02,691,32,659,1,3,17,0,0,11
"468","Norway","Not defined","2014-24",2014-06-09,521,19,502,0,4,11,0,0,4
"469","Norway","Not defined","2014-25",2014-06-16,334,9,325,0,3,4,0,1,1
"470","Norway","Not defined","2014-26",2014-06-23,272,7,265,0,2,5,0,0,0
"471","Norway","Not defined","2014-27",2014-06-30,376,5,371,0,2,0,0,0,3
"472","Norway","Not defined","2014-28",2014-07-07,219,2,217,0,0,1,0,1,0
"473","Norway","Not defined","2014-29",2014-07-14,49,3,46,0,0,1,0,2,0
"474","Norway","Not defined","2014-30",2014-07-21,129,3,126,0,0,1,1,1,0
"475","Norway","Not defined","2014-31",2014-07-28,16,3,13,0,2,0,0,0,1
"476","Norway","Not defined","2014-32",2014-08-04,148,2,146,0,2,0,0,0,0
"477","Norway","Not defined","2014-33",2014-08-11,200,4,196,0,3,0,0,0,1
"478","Norway","Not defined","2014-34",2014-08-18,189,8,181,1,5,1,0,0,1
"479","Norway","Not defined","2014-35",2014-08-25,31,2,29,1,1,0,0,0,0
"480","Norway","Not defined","2014-36",2014-09-01,47,4,43,0,4,0,0,0,0
"481","Norway","Not defined","2014-37",2014-09-08,446,7,439,2,2,3,0,0,0
"482","Norway","Not defined","2014-38",2014-09-15,458,5,453,1,2,0,0,0,2
"483","Norway","Not defined","2014-39",2014-09-22,337,2,335,2,0,0,0,0,0
"484","Norway","Sentinel","2013-40",2013-09-30,1,0,1,0,0,0,0,0,0
"485","Norway","Sentinel","2013-41",2013-10-07,2,0,2,0,0,0,0,0,0
"486","Norway","Sentinel","2013-42",2013-10-14,1,0,1,0,0,0,0,0,0
"487","Norway","Sentinel","2013-43",2013-10-21,3,0,3,0,0,0,0,0,0
"488","Norway","Sentinel","2013-44",2013-10-28,5,0,5,0,0,0,0,0,0
"489","Norway","Sentinel","2013-45",2013-11-04,13,2,11,0,2,0,0,0,0
"490","Norway","Sentinel","2013-46",2013-11-11,7,0,7,0,0,0,0,0,0
"491","Norway","Sentinel","2013-47",2013-11-18,8,0,8,0,0,0,0,0,0
"492","Norway","Sentinel","2013-48",2013-11-25,9,1,8,1,0,0,0,0,0
"493","Norway","Sentinel","2013-49",2013-12-02,4,0,4,0,0,0,0,0,0
"494","Norway","Sentinel","2013-50",2013-12-09,7,0,7,0,0,0,0,0,0
"495","Norway","Sentinel","2013-51",2013-12-16,2,0,2,0,0,0,0,0,0
"496","Norway","Sentinel","2013-52",2013-12-23,5,3,2,0,2,0,0,1,0
"497","Norway","Sentinel","2014-01",2013-12-30,4,0,4,0,0,0,0,0,0
"498","Norway","Sentinel","2014-02",2014-01-06,9,3,6,1,2,0,0,0,0
"499","Norway","Sentinel","2014-03",2014-01-13,16,4,12,2,1,0,0,1,0
"500","Norway","Sentinel","2014-04",2014-01-20,17,4,13,3,0,0,0,0,1
"501","Norway","Sentinel","2014-05",2014-01-27,15,3,12,2,1,0,0,0,0
"502","Norway","Sentinel","2014-06",2014-02-03,15,3,12,2,1,0,0,0,0
"503","Norway","Sentinel","2014-07",2014-02-10,15,7,8,5,2,0,0,0,0
"504","Norway","Sentinel","2014-08",2014-02-17,14,10,4,6,3,1,0,0,0
"505","Norway","Sentinel","2014-09",2014-02-24,17,5,12,5,0,0,0,0,0
"506","Norway","Sentinel","2014-10",2014-03-03,9,5,4,5,0,0,0,0,0
"507","Norway","Sentinel","2014-11",2014-03-10,14,9,5,4,4,0,0,1,0
"508","Norway","Sentinel","2014-12",2014-03-17,13,3,10,0,2,0,0,1,0
"509","Norway","Sentinel","2014-13",2014-03-24,4,2,2,2,0,0,0,0,0
"510","Norway","Sentinel","2014-14",2014-03-31,7,2,5,0,2,0,0,0,0
"511","Norway","Sentinel","2014-15",2014-04-07,7,3,4,0,2,0,0,1,0
"512","Norway","Sentinel","2014-16",2014-04-14,0,0,0,0,0,0,0,0,0
"513","Norway","Sentinel","2014-17",2014-04-21,3,2,1,0,0,1,0,1,0
"514","Norway","Sentinel","2014-18",2014-04-28,2,0,2,0,0,0,0,0,0
"515","Norway","Sentinel","2014-19",2014-05-05,1,0,1,0,0,0,0,0,0
"516","Norway","Sentinel","2014-40",2014-09-29,3,0,3,0,0,0,0,0,0
"517","Norway","Sentinel","2014-41",2014-10-06,3,0,3,0,0,0,0,0,0
"518","Norway","Sentinel","2014-42",2014-10-13,0,0,0,0,0,0,0,0,0
"519","Norway","Sentinel","2014-43",2014-10-20,3,0,3,0,0,0,0,0,0
"520","Norway","Sentinel","2014-44",2014-10-27,3,0,3,0,0,0,0,0,0
"521","Norway","Sentinel","2014-45",2014-11-03,6,0,6,0,0,0,0,0,0
"522","Norway","Sentinel","2014-46",2014-11-10,4,2,2,0,2,0,0,0,0
"523","Norway","Sentinel","2014-47",2014-11-17,3,0,3,0,0,0,0,0,0
"524","Norway","Sentinel","2014-48",2014-11-24,6,0,6,0,0,0,0,0,0
"525","Norway","Sentinel","2014-49",2014-12-01,5,0,5,0,0,0,0,0,0
"526","Norway","Sentinel","2014-50",2014-12-08,4,0,4,0,0,0,0,0,0
"527","Norway","Sentinel","2014-51",2014-12-15,3,1,2,0,0,0,0,1,0
"528","Norway","Sentinel","2014-52",2014-12-22,1,0,1,0,0,0,0,0,0
"529","Norway","Sentinel","2015-01",2014-12-29,14,9,5,0,6,0,0,3,0
"530","Norway","Sentinel","2015-02",2015-01-05,28,13,15,0,8,0,0,5,0
"531","Norway","Sentinel","2015-03",2015-01-12,19,13,6,2,9,0,0,2,0
"532","Norway","Sentinel","2015-04",2015-01-19,13,8,5,0,6,0,0,1,1
"533","Norway","Sentinel","2015-05",2015-01-26,20,14,6,0,9,0,0,5,0
"534","Norway","Sentinel","2015-06",2015-02-02,12,8,4,0,3,0,0,5,0
"535","Norway","Sentinel","2015-07",2015-02-09,26,20,6,1,13,0,0,6,0
"536","Norway","Sentinel","2015-08",2015-02-16,15,14,1,1,11,0,0,2,0
"537","Norway","Sentinel","2015-09",2015-02-23,14,10,4,1,3,0,0,6,0
"538","Norway","Sentinel","2015-10",2015-03-02,9,4,5,2,1,0,0,1,0
"539","Norway","Sentinel","2015-11",2015-03-09,9,7,2,2,3,1,0,1,0
"540","Norway","Sentinel","2015-12",2015-03-16,7,2,5,0,0,0,0,2,0
"541","Norway","Sentinel","2015-13",2015-03-23,6,5,1,0,3,0,0,1,1
"542","Norway","Sentinel","2015-14",2015-03-30,2,1,1,0,0,0,0,1,0
"543","Norway","Sentinel","2015-15",2015-04-06,8,4,4,1,1,0,0,2,0
"544","Norway","Sentinel","2015-16",2015-04-13,0,0,0,0,0,0,0,0,0
"545","Norway","Sentinel","2015-17",2015-04-20,0,0,0,0,0,0,0,0,0
"546","Norway","Sentinel","2015-18",2015-04-27,4,1,3,0,0,0,0,1,0
"547","Norway","Sentinel","2015-19",2015-05-04,1,1,0,0,0,0,0,1,0
"548","Norway","Sentinel","2015-20",2015-05-11,1,0,1,0,0,0,0,0,0
"549","Norway","Sentinel","2015-21",2015-05-18,0,0,0,0,0,0,0,0,0
"550","Norway","Sentinel","2015-22",2015-05-25,1,0,1,0,0,0,0,0,0
"551","Norway","Sentinel","2015-23",2015-06-01,2,2,0,0,0,0,0,2,0
"552","Norway","Sentinel","2015-24",2015-06-08,0,0,0,0,0,0,0,0,0
"553","Norway","Sentinel","2015-25",2015-06-15,1,1,0,0,0,0,0,1,0
"554","Norway","Sentinel","2015-26",2015-06-22,0,0,0,0,0,0,0,0,0
"555","Norway","Sentinel","2015-27",2015-06-29,0,0,0,0,0,0,0,0,0
"556","Norway","Sentinel","2015-28",2015-07-06,2,0,2,0,0,0,0,0,0
"557","Norway","Sentinel","2015-29",2015-07-13,0,0,0,0,0,0,0,0,0
"558","Norway","Sentinel","2015-30",2015-07-20,3,0,3,0,0,0,0,0,0
"559","Norway","Sentinel","2015-31",2015-07-27,0,0,0,0,0,0,0,0,0
"560","Norway","Sentinel","2015-32",2015-08-03,0,0,0,0,0,0,0,0,0
"561","Norway","Sentinel","2015-33",2015-08-10,1,0,1,0,0,0,0,0,0
"562","Norway","Sentinel","2015-34",2015-08-17,1,0,1,0,0,0,0,0,0
"563","Norway","Sentinel","2015-35",2015-08-24,0,0,0,0,0,0,0,0,0
"564","Norway","Sentinel","2015-36",2015-08-31,0,0,0,0,0,0,0,0,0
"565","Norway","Sentinel","2015-37",2015-09-07,0,0,0,0,0,0,0,0,0
"566","Norway","Sentinel","2015-38",2015-09-14,0,0,0,0,0,0,0,0,0
"567","Norway","Sentinel","2015-39",2015-09-21,0,0,0,0,0,0,0,0,0
"568","Norway","Sentinel","2015-40",2015-09-28,1,0,1,0,0,0,0,0,0
"569","Norway","Sentinel","2015-41",2015-10-05,5,0,5,0,0,0,0,0,0
"570","Norway","Sentinel","2015-42",2015-10-12,5,0,5,0,0,0,0,0,0
"571","Norway","Sentinel","2015-43",2015-10-19,8,0,8,0,0,0,0,0,0
"572","Norway","Sentinel","2015-44",2015-10-26,2,0,2,0,0,0,0,0,0
"573","Norway","Sentinel","2015-45",2015-11-02,6,1,5,0,0,0,0,0,1
"574","Norway","Sentinel","2015-46",2015-11-09,9,4,5,1,2,0,1,0,0
"575","Norway","Sentinel","2015-47",2015-11-16,15,5,10,2,1,0,2,0,0
"576","Norway","Sentinel","2015-48",2015-11-23,12,0,12,0,0,0,0,0,0
"577","Norway","Sentinel","2015-49",2015-11-30,6,2,4,2,0,0,0,0,0
"578","Norway","Sentinel","2015-50",2015-12-07,6,0,6,0,0,0,0,0,0
"579","Norway","Sentinel","2015-51",2015-12-14,15,3,12,2,1,0,0,0,0
"580","Norway","Sentinel","2015-52",2015-12-21,11,7,4,6,1,0,0,0,0
"581","Norway","Sentinel","2015-53",2015-12-28,8,2,6,2,0,0,0,0,0
"582","Norway","Sentinel","2016-01",2016-01-04,13,1,12,0,1,0,0,0,0
"583","Norway","Sentinel","2016-02",2016-01-11,15,6,9,5,1,0,0,0,0
"584","Norway","Sentinel","2016-03",2016-01-18,8,2,6,1,1,0,0,0,0
"585","Norway","Sentinel","2016-04",2016-01-25,22,9,13,8,0,1,0,0,0
"586","Norway","Sentinel","2016-05",2016-02-01,21,13,8,12,0,0,1,0,0
"587","Norway","Sentinel","2016-06",2016-02-08,34,13,21,10,0,0,3,0,0
"588","Norway","Sentinel","2016-07",2016-02-15,26,16,10,13,0,0,2,1,0
"589","Norway","Sentinel","2016-08",2016-02-22,18,6,12,4,0,0,2,0,0
"590","Norway","Sentinel","2016-09",2016-02-29,13,4,9,3,0,0,1,0,0
"591","Norway","Sentinel","2016-10",2016-03-07,11,4,7,2,0,0,2,0,0
"592","Norway","Sentinel","2016-11",2016-03-14,10,5,5,4,0,0,1,0,0
"593","Norway","Sentinel","2016-12",2016-03-21,0,0,0,0,0,0,0,0,0
"594","Norway","Sentinel","2016-13",2016-03-28,2,2,0,0,0,0,0,2,0
"595","Norway","Sentinel","2016-14",2016-04-04,6,2,4,0,0,0,2,0,0
"596","Norway","Sentinel","2016-15",2016-04-11,0,0,0,0,0,0,0,0,0
"597","Norway","Sentinel","2016-16",2016-04-18,0,0,0,0,0,0,0,0,0
"598","Norway","Sentinel","2016-17",2016-04-25,0,0,0,0,0,0,0,0,0
"599","Norway","Sentinel","2016-18",2016-05-02,0,0,0,0,0,0,0,0,0
"600","Norway","Sentinel","2016-19",2016-05-09,0,0,0,0,0,0,0,0,0
"601","Norway","Sentinel","2016-20",2016-05-16,0,0,0,0,0,0,0,0,0
"602","Norway","Sentinel","2016-21",2016-05-23,0,0,0,0,0,0,0,0,0
"603","Norway","Sentinel","2016-22",2016-05-30,0,0,0,0,0,0,0,0,0
"604","Norway","Sentinel","2016-23",2016-06-06,0,0,0,0,0,0,0,0,0
"605","Norway","Sentinel","2016-24",2016-06-13,0,0,0,0,0,0,0,0,0
"606","Norway","Sentinel","2016-25",2016-06-20,0,0,0,0,0,0,0,0,0
"607","Norway","Sentinel","2016-26",2016-06-27,0,0,0,0,0,0,0,0,0
"608","Norway","Sentinel","2016-27",2016-07-04,0,0,0,0,0,0,0,0,0
"609","Norway","Sentinel","2016-28",2016-07-11,0,0,0,0,0,0,0,0,0
"610","Norway","Sentinel","2016-29",2016-07-18,0,0,0,0,0,0,0,0,0
"611","Norway","Sentinel","2016-30",2016-07-25,0,0,0,0,0,0,0,0,0
"612","Norway","Sentinel","2016-31",2016-08-01,0,0,0,0,0,0,0,0,0
"613","Norway","Sentinel","2016-32",2016-08-08,0,0,0,0,0,0,0,0,0
"614","Norway","Sentinel","2016-33",2016-08-15,0,0,0,0,0,0,0,0,0
"615","Norway","Sentinel","2016-34",2016-08-22,0,0,0,0,0,0,0,0,0
"616","Norway","Sentinel","2016-35",2016-08-29,0,0,0,0,0,0,0,0,0
"617","Norway","Sentinel","2016-36",2016-09-05,0,0,0,0,0,0,0,0,0
"618","Norway","Sentinel","2016-37",2016-09-12,0,0,0,0,0,0,0,0,0
"619","Norway","Sentinel","2016-38",2016-09-19,0,0,0,0,0,0,0,0,0
"620","Norway","Sentinel","2016-39",2016-09-26,1,1,0,0,0,1,0,0,0
"621","Norway","Sentinel","2016-40",2016-10-03,0,0,0,0,0,0,0,0,0
"622","Norway","Sentinel","2016-41",2016-10-10,1,0,1,0,0,0,0,0,0
"623","Norway","Sentinel","2016-42",2016-10-17,6,0,6,0,0,0,0,0,0
"624","Norway","Sentinel","2016-43",2016-10-24,8,1,7,0,1,0,0,0,0
"625","Norway","Sentinel","2016-44",2016-10-31,25,6,19,0,6,0,0,0,0
"626","Norway","Sentinel","2016-45",2016-11-07,26,1,25,0,1,0,0,0,0
"627","Norway","Sentinel","2016-46",2016-11-14,12,3,9,0,2,0,1,0,0
"628","Norway","Sentinel","2016-47",2016-11-21,19,4,15,0,4,0,0,0,0
"629","Norway","Sentinel","2016-48",2016-11-28,20,8,12,0,8,0,0,0,0
"630","Norway","Sentinel","2016-49",2016-12-05,33,10,23,0,8,1,0,1,0
"631","Norway","Sentinel","2016-50",2016-12-12,42,16,26,0,14,1,1,0,0
"632","Norway","Sentinel","2016-51",2016-12-19,34,19,15,0,11,5,1,1,1
"633","Norway","Sentinel","2016-52",2016-12-26,32,17,15,0,15,1,1,0,0
"634","Norway","Sentinel","2017-01",2017-01-02,35,14,21,0,14,0,0,0,0
"635","Norway","Sentinel","2017-02",2017-01-09,32,16,16,0,14,2,0,0,0
"636","Norway","Sentinel","2017-03",2017-01-16,24,15,9,0,13,0,0,2,0
"637","Norway","Sentinel","2017-04",2017-01-23,20,8,12,0,8,0,0,0,0
"638","Norway","Sentinel","2017-05",2017-01-30,17,3,14,0,3,0,0,0,0
"639","Norway","Sentinel","2017-06",2017-02-06,4,2,2,0,2,0,0,0,0
"640","Norway","Sentinel","2017-07",2017-02-13,8,4,4,0,3,0,0,1,0
"641","Norway","Sentinel","2017-08",2017-02-20,8,6,2,0,6,0,0,0,0
"642","Norway","Sentinel","2017-09",2017-02-27,3,2,1,0,2,0,0,0,0
"643","Norway","Sentinel","2017-10",2017-03-06,4,0,4,0,0,0,0,0,0
"644","Norway","Sentinel","2017-11",2017-03-13,4,1,3,0,1,0,0,0,0
"645","Norway","Sentinel","2017-12",2017-03-20,1,0,1,0,0,0,0,0,0
"646","Norway","Sentinel","2017-13",2017-03-27,0,0,0,0,0,0,0,0,0
"647","Norway","Sentinel","2017-14",2017-04-03,0,0,0,0,0,0,0,0,0
"648","Norway","Sentinel","2017-15",2017-04-10,0,0,0,0,0,0,0,0,0
"649","Norway","Sentinel","2017-16",2017-04-17,0,0,0,0,0,0,0,0,0
"650","Norway","Sentinel","2017-17",2017-04-24,0,0,0,0,0,0,0,0,0
"651","Norway","Sentinel","2017-18",2017-05-01,0,0,0,0,0,0,0,0,0
"652","Norway","Sentinel","2017-19",2017-05-08,0,0,0,0,0,0,0,0,0
"653","Norway","Sentinel","2017-20",2017-05-15,0,0,0,0,0,0,0,0,0
"654","Norway","Sentinel","2017-21",2017-05-22,0,0,0,0,0,0,0,0,0
"655","Norway","Sentinel","2017-22",2017-05-29,1,0,1,0,0,0,0,0,0
"656","Norway","Sentinel","2017-23",2017-06-05,0,0,0,0,0,0,0,0,0
"657","Norway","Sentinel","2017-24",2017-06-12,0,0,0,0,0,0,0,0,0
"658","Norway","Sentinel","2017-25",2017-06-19,0,0,0,0,0,0,0,0,0
"659","Norway","Sentinel","2017-26",2017-06-26,0,0,0,0,0,0,0,0,0
"660","Norway","Sentinel","2017-27",2017-07-03,0,0,0,0,0,0,0,0,0
"661","Norway","Sentinel","2017-28",2017-07-10,0,0,0,0,0,0,0,0,0
"662","Norway","Sentinel","2017-29",2017-07-17,0,0,0,0,0,0,0,0,0
"663","Norway","Sentinel","2017-30",2017-07-24,0,0,0,0,0,0,0,0,0
"664","Norway","Sentinel","2017-31",2017-07-31,0,0,0,0,0,0,0,0,0
"665","Norway","Sentinel","2017-32",2017-08-07,0,0,0,0,0,0,0,0,0
"666","Norway","Sentinel","2017-33",2017-08-14,0,0,0,0,0,0,0,0,0
"667","Norway","Sentinel","2017-34",2017-08-21,0,0,0,0,0,0,0,0,0
"668","Norway","Sentinel","2017-35",2017-08-28,0,0,0,0,0,0,0,0,0
"669","Norway","Sentinel","2017-36",2017-09-04,0,0,0,0,0,0,0,0,0
"670","Norway","Sentinel","2017-37",2017-09-11,0,0,0,0,0,0,0,0,0
"671","Norway","Sentinel","2017-38",2017-09-18,0,0,0,0,0,0,0,0,0
"672","Norway","Sentinel","2017-39",2017-09-25,0,0,0,0,0,0,0,0,0
"673","Norway","Sentinel","2017-40",2017-10-02,8,0,8,0,0,0,0,0,0
"674","Norway","Sentinel","2017-41",2017-10-09,7,0,7,0,0,0,0,0,0
"675","Norway","Sentinel","2017-42",2017-10-16,13,0,13,0,0,0,0,0,0
"676","Norway","Sentinel","2017-43",2017-10-23,10,1,9,0,1,0,0,0,0
"677","Norway","Sentinel","2017-44",2017-10-30,11,0,11,0,0,0,0,0,0
"678","Norway","Sentinel","2017-45",2017-11-06,12,1,11,0,0,0,0,0,1
"679","Norway","Sentinel","2017-46",2017-11-13,6,0,6,0,0,0,0,0,0
"680","Norway","Sentinel","2017-47",2017-11-20,9,1,8,0,0,0,0,1,0
